ID;NAME;EVA_ID
KA;Aachen Hbf;8000001
KASZ;Aachen Schanz;8070704
KAW;Aachen West;8000404
KAREP;Aachen-Rothe Erde;8000406
TA;Aalen;8000002
KAB;Abenden;8007826
MABG;Abensberg;8000410
RAH;Achern;8000412
RAHS;Achern Stadt;8007001
HACH;Achim;8000413
RAK;Achkarren;8007291
HAMR;Achmer;8000414
AACW;Achterwehr;8000416
HADB;Adelebsen;8000418
MAD;Adelschlag;8000419
NADM;Adelsdorf(Mittelfr);8000420
RADN;Adelsheim Nord;8000423
TAD;Adelsheim Ost;8000424
DADO;Adorf(Erzgeb);8011002
DAD;Adorf(Vogtl);8010001
TAF;Affaltrach;8000431
MAGD;Agatharied;8000433
AABG;Agathenburg;8000434
RAG;Aglasterhausen;8007445
RA;Aha;8000436
EAHS;Ahaus;8000437
WABG;Ahlbeck Grenze;8079084
WABO;Ahlbeck Ostseetherme;8087025
EAHL;Ahlen(Westf);8000441
HAHO;Ahlhorn;8000442
HALT;Ahlten;8000443
FATC;Ahnatal Casselbreite;8000457
FHEH;Ahnatal-Heckershausen;8002675
FWEI;Ahnatal-Weimar;8006286
KBRU;Ahrbrück;8001209
AAHR;Ahrensburg;8000446
AAHG;Ahrensburg-Gartenholz;8000480
BAHR;Ahrensfelde;8011003
BAFR;Ahrensfelde Friedhof;8011004
BAFN;Ahrensfelde Nord;8011005
KAH;Ahrweiler;8000448
KAHM;Ahrweiler Markt;8000449
MAIC;Aich(Niederbay);8000451
MAI;Aichach;8000452
TAI;Aichstetten;8000454
MAID;Aindorf;8072132
MAIN;Ainring;8000459
RAL;Albbruck;8000463
AAL;Albersdorf;8000464
RAR;Albersweiler(Pfalz);8000466
FAG;Albig;8000468
FALH;Albisheim(Pfrimm);8070252
LALB;Albrechtshaus;8017000
BAS;Albrechtshof;8080040
FALS;Albshausen;8000471
RAM;Albsheim(Eis);8070096
TAE;Albstadt-Ebingen;8000473
TAEW;Albstadt-Ebingen West;8079089
TALO;Albstadt-Laufen Ort;8000474
TALT;Albstadt-Lautlingen;8000475
KALK;Aldekerk;8000477
TALD;Aldingen(b Spaichingen);8000481
MALH;Aletshausen;8000482
LAX;Alexisbad;8017001
HALF;Alfeld(Leine);8000483
KALI;Alfter-Impekoven;8000495
KWIS;Alfter-Witterschlick;8006516
HALG;Algermissen;8000488
HALI;Aligse;8000489
FADD;Allendorf(Dillkr);8000492
RAB;Allensbach;8000496
NALB;Allersberg(Rothsee);8000498
TALL;Allmendingen;8000499
KALP;Alpen;8000500
RALP;Alpirsbach;8000501
KADP;Alsdorf Poststraße;8000510
EGNP;Alsdorf(Westerw);8007078
KADA;Alsdorf-Annapark;8000502
KADB;Alsdorf-Busch;8000507
KKEL;Alsdorf-Kellersberg;8000521
KMAD;Alsdorf-Mariadorf;8000527
SAZ;Alsenz;8000505
FAFD;Alsfeld(Oberhess);8000350
FAHM;Alsheim;8000506
WAHU;Alt Hüttendorf;8011011
BARO;Alt Rosenthal;8011014
TACH;Altbach;8000508
BAD;Altdöbern;8011016
NADW;Altdorf West;8000504
NAD;Altdorf(b Nürnberg);8000509
MAF;Altdorf(Niederbay);8026354
NAVE;Alte Veste;8000511
WAF;Altefähr;8011017
EALN;Altena(Westf);8000513
KALT;Altenahr;8000514
MALT;Altenau(Bay);8000515
LALT;Altenbach;8011018
SAB;Altenbamberg;8000517
HA;Altenbeken;8000004
EABG;Altenberge;8000518
LA;Altenburg;8010003
MANE;Altenerding;8000524
FATF;Altenfeld(Rhön);8000525
SALG;Altenglan;8000491
AAT;Altengörs;8000526
FAHN;Altenhasungen;8000530
KAK;Altenkirchen(Westerwald);8000351
MATM;Altenmarkt(Alz);8000533
EASE;Altenseelbach;8000537
FAST;Altenstadt(Hess);8000538
MASI;Altenstadt(Iller);8000539
NALW;Altenstadt(Waldnaab);8000540
FHTN;Altenstadt-Höchst;8002886
FLIN;Altenstadt-Lindheim;8003698
WATR;Altentreptow;8011025
WALW;Altenwillershagen;8011027
UACH;Altersbach;8011028
BJA;Altes Lager;8011968
RAT;Altglashütten-Falkau;8000544
MAHB;Althegnenberg;8000545
FAT;Altheim(Hess);8000546
WAH;Althof;8011031
TAG;Altingen(Württ);8070591
DAMD;Altmittweida;8011033
FAMO;Altmorschen;8000553
DAMG;Altmügeln;8070697
MAMT;Altomünster;8000556
DAOR;Altoschatz-Rosenthal;8070689
MAT;Altötting;8000555
BART;Altranft;8011034
TAT;Altshausen;8000559
MATS;Altstädten(Allgäu);8000561
TATN;Alttann;8000562
AAV;Alveslohe;8070185
FAZB;Alzenau Burg;8077275
FAZUN;Alzenau Nord;8077274
FAZU;Alzenau(Unterfr);8007275
FALZ;Alzey;8000007
FAZS;Alzey Süd;8000558
FAZW;Alzey West;8007474
NAM;Amberg;8000566
MAMG;Amerang;8070802
UAMM;Ammern;8011029
NAMB;Amorbach;8000575
MAPF;Ampfing;8000576
LAMS;Amsdorf;8011038
TAM M;Amstetten(W) Lokalbahn;8079075
TAM;Amstetten(Württ);8000577
DAMH;Amtshainersdorf;8011039
KAND;Andernach;8000331
WA;Angermünde;8010004
KANM;Angermund;8000579
LANG;Angern-Rogätz;8011042
FANG;Angersbach;8000580
LAG;Angersdorf;8011043
WAK;Anklam;8011044
DABM;Annaberg-Buchholz Mitte;8011045
DAB;Annaberg-Buchholz Süd;8010005
DABU;Annaberg-Buchholz unterer Bf;8011047
LAB;Annaburg;8011048
RAN;Annweiler am Trifels;8000582
RANS;Annweiler-Sarnstall;8005257
KANR;Anrath;8000584
NAN;Ansbach;8000009
DATL;Antonsthal;8011049
NAWN;Anwanden;8000588
FAZ;Anzefahr;8000589
MAK;Anzenkirchen;8000590
AAPS;Apensen;8007831
TAPF;Äpfingen;8079092
UAP;Apolda;8011051
RAP;Appenweier;8000596
EARE;Ardey;8000597
LAF;Arensdorf(Köthen);8011053
UAR;Arenshausen;8011054
FAF;Arfurt(Lahn);8000599
FARM;Armsheim;8000602
MANB;Arnbach;8000603
EARB;Arnsberg(Westf);8000605
NARG;Arnschwang;8000606
DAF;Arnsdorf(Dresden);8010006
UA;Arnstadt Hbf;8010007
UASD;Arnstadt Süd;8011055
NARR;Arrach;8007343
KARS;Arsbeck;8000611
UAT;Artern;8012440
NAZ;Arzberg(Oberfr);8000613
NAH;Aschaffenburg Hbf;8000010
NAHF;Aschaffenburg Hochschule;8000618
NASU;Aschaffenburg Süd;8000619
MASC;Aschau(Chiemgau);8000621
AAG;Ascheberg(Holst);8000011
EASB;Ascheberg(Westf);8000623
HASD;Aschendorf;8000624
LAL;Aschersleben;8010009
AASN;Ashausen;8000627
TAX;Asperg;8000630
RASH;Asselheim;8000625
FAS;Assenheim(Oberhess);8000632
FAL;Aßlar;8000633
MAG;Aßling(Oberbay);8000634
FAH;Assmannshausen;8000635
EAT;Attendorn;8000638
EHOH;Attendorn-Hohen Hagen;8087039
RWSA;Au im Murgtal;8000643
KAU;Au(Sieg);8000012
DAU;Aue(Sachs);8010010
DAUS;Aue(Sachs) Erzgebirgsstadion;8010027
UAE;Auehütte;8011057
RACH;Auerbach(b Mosbach, Baden);8000649
DAUO;Auerbach(V) ob Bf;8010011
DAUU;Auerbach(V) unt Bf;8010012
DAUH;Auerbach(Vogtl) Hp;8011059
UAS;Auerstedt;8011060
EAWN;Aue-Wingeshausen;8000647
MAFE;Aufhausen(b Erding);8000653
TAUF;Aufhausen(Württ);8000655
RAUG;Auggen;8000657
MAHA;Augsburg Haunstetterstraße;8000658
MA;Augsburg Hbf;8000013
MAGM;Augsburg Messe;8000659
MAMS;Augsburg Morellstr.;8000660
MAHZ;Augsburg-Hochzoll;8000661
MAOB;Augsburg-Oberhausen;8000662
HAUG;Augustfehn;8000664
AAU;Aukrug;8003078
TAU;Aulendorf;8000014
FAUM;Aumenau;8000668
AAMS;Aumühle;8000669
FAM;Auringen-Medenbach;8000671
NAUR;Außenried;8000672
SAUW;Auw an der Kyll;8000674
MAY;Aying;8000675
WBA;Baabe;8011063
LBB;Baalberge;8010013
MBAE;Baar-Ebenhausen;8000678
FLAS;Babenhausen Langstadt;8003559
FBA;Babenhausen(Hess);8000015
RBST;Babstadt;8000681
FBCH;Bacharach;8000683
MBCN;Bachern;8000685
UB;Bachfeld;8011065
RBH;Bachheim;8000686
TB;Backnang;8000016
NBAB;Bad Abbach;8000689
MBAI;Bad Aibling;8000690
MBAK;Bad Aibling Kurpark;8000696
FAR;Bad Arolsen;8000609
RBEL;Bad Bellingen;8000864
BBIG;Bad Belzig;8010031
HBTH;Bad Bentheim;8000879
RBZB;Bad Bergzabern;8000691
UBB;Bad Berka;8011066
UBBZ;Bad Berka Zeughausplatz;8011067
EBLB;Bad Berleburg;8000907
ABVS;Bad Bevensen;8000935
MBIB;Bad Birnbach;8000988
UBL;Bad Blankenburg(Thüringerw);8010014
KBOD;Bad Bodendorf;8001049
HBOD;Bad Bodenteich;8001052
DBM;Bad Brambach;8011068
ABSD;Bad Bramstedt;8007058
ABSK;Bad Bramstedt Kurhaus;8007057
KBRE;Bad Breisig;8000694
FCA;Bad Camberg;8001322
WDO;Bad Doberan;8010016
WDOG;Bad Doberan Goethestraße;8011069
WDOS;Bad Doberan Stadtmitte;8081085
HBDG;Bad Driburg(Westf);8000697
